"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2020","35.1413","35.2106","35.3839","34.5000","","-0.20%"
"06/01/2020","35.2106","34.2500","35.2177","33.9524","","3.77%"
"05/01/2020","33.9320","33.0000","34.3187","32.8617","","1.71%"
"04/01/2020","33.3631","33.1253","33.7589","32.4553","","0.72%"
"03/01/2020","33.1253","32.0300","33.1510","32.0300","","2.87%"
"02/01/2020","32.2000","32.0300","32.6059","31.5574","","0.97%"
"01/01/2020","31.8900","31.9775","32.2907","31.6772","","0.16%"
"12/01/2019","31.8400","30.7689","32.0800","30.4400","","4.00%"
"11/01/2019","30.6158","29.5774","30.7877","29.2803","","3.08%"
"10/01/2019","29.7000","29.4900","29.8990","29.1450","","1.26%"
"09/01/2019","29.3300","29.2981","29.6550","29.0950","","0.61%"
"08/01/2019","29.1524","28.8554","29.6500","28.7188","","0.32%"
"07/01/2019","29.0598","28.8554","29.2442","28.6117","","0.03%"
"06/01/2019","29.0500","28.8554","29.2595","28.5688","","-0.42%"
"05/01/2019","29.1720","28.7587","29.2176","28.4648","","0.70%"
"04/01/2019","28.9692","28.6278","29.0914","28.4450","","1.15%"
"03/01/2019","28.6400","28.4711","28.8550","28.1385","","0.19%"
"02/01/2019","28.5850","28.3342","28.7346","28.0221","","0.06%"
"01/01/2019","28.5676","28.1723","28.6686","27.8900","","1.30%"
"12/01/2018","28.2017","28.0313","28.4869","27.7150","","1.15%"
"11/01/2018","27.8813","27.8821","28.1792","27.8498","","0.53%"
"10/01/2018","27.7353","27.7274","28.1100","27.4390","","0.53%"
"09/01/2018","27.5889","27.6323","28.0782","27.4923","","0.38%"
"08/01/2018","27.4849","27.5131","27.8328","27.4700","","0.42%"
"07/01/2018","27.3703","27.5261","27.6852","27.3752","","-0.57%"
"06/01/2018","27.5261","27.5205","27.6850","27.3618","","0.02%"
"05/01/2018","27.5205","27.5177","27.6250","27.3303","","0.01%"
"04/01/2018","27.5177","27.3745","27.5767","27.3499","","1.02%"
"03/01/2018","27.2399","27.4134","27.6850","27.3382","","0.04%"
"02/01/2018","27.2285","27.4106","27.6950","27.2475","","0.02%"
"01/01/2018","27.2229","27.3345","27.7064","27.2355","","-0.68%"
"12/01/2017","27.4100","27.3015","27.6750","27.2185","","0.10%"
"11/01/2017","27.3820","27.3500","27.4992","27.1256","","0.39%"
"10/01/2017","27.2747","23.4975","27.4900","23.1330","","15.61%"
"09/01/2017","23.5910","23.3915","23.7300","23.3540","","0.17%"
"08/01/2017","23.5500","23.3070","23.6400","23.2615","","0.60%"
"07/01/2017","23.4100","23.2235","23.5810","23.0200","","0.36%"
"06/01/2017","23.3258","23.2225","23.4550","22.9650","","0.46%"
"05/01/2017","23.2188","22.9705","23.3200","22.6150","","0.41%"
"04/01/2017","23.1247","22.8550","23.2411","22.6850","","0.74%"
"03/01/2017","22.9550","22.7450","23.0615","22.4850","","1.26%"
"02/01/2017","22.6700","22.6100","22.9361","22.4000","","-0.09%"
"01/01/2017","22.6900","22.5160","22.8878","22.3000","","1.29%"
"12/01/2016","22.4000","22.3735","22.7250","22.1100","","-0.64%"
"11/01/2016","22.5441","22.3750","22.5662","22.1700","","0.69%"
"10/01/2016","22.3889","22.1190","22.4512","22.0495","","0.94%"
"09/01/2016","22.1800","22.1300","22.3900","21.9200","","0.23%"
"08/01/2016","22.1300","21.9805","22.3256","21.9291","","0.18%"
"07/01/2016","22.0913","21.9000","22.2700","21.7950","","0.21%"
"06/01/2016","22.0452","21.7415","22.1450","21.6150","","1.73%"
"05/01/2016","21.6712","21.5455","22.1462","21.4481","","0.10%"
"04/01/2016","21.6504","21.4650","21.7050","21.3860","","0.30%"
"03/01/2016","21.5854","21.3440","21.6300","21.2250","","0.91%"
"02/01/2016","21.3905","21.2595","21.4850","21.1829","","0.12%"
"01/01/2016","21.3655","21.1830","21.4347","21.1395","","0.50%"
"12/01/2015","21.2600","21.0910","21.3190","20.3837","","1.49%"
"11/01/2015","20.9469","21.0105","21.2600","20.6530","","-0.98%"
"10/01/2015","21.1550","20.9220","21.1775","20.8199","","0.33%"
"09/01/2015","21.0850","20.8415","21.1075","20.7323","","1.17%"
"08/01/2015","20.8415","20.7570","21.0500","20.7050","","-0.66%"
"07/01/2015","20.9800","20.6690","21.0500","20.5810","","1.09%"
"06/01/2015","20.7540","20.5805","21.1500","20.4915","","0.85%"
"05/01/2015","20.5800","20.5110","20.7682","20.4305","","0.02%"
"04/01/2015","20.5750","20.4310","20.7345","20.3165","","0.27%"
"03/01/2015","20.5200","20.3505","20.6495","20.2760","","0.05%"
"02/01/2015","20.5100","20.2685","20.5250","20.1845","","0.51%"
"01/01/2015","20.4050","20.2025","20.5040","20.1015","","0.39%"
"12/01/2014","20.3250","20.1230","20.4510","20.0465","","0.37%"
"11/01/2014","20.2500","20.0545","20.3365","19.9770","","0.50%"
"10/01/2014","20.1500","19.9725","20.2575","19.8860","","0.20%"
"09/01/2014","20.1100","19.8740","20.1615","19.7915","","1.69%"
"08/01/2014","19.7750","19.7775","20.0525","19.6880","","-0.73%"
"07/01/2014","19.9200","19.7500","20.0045","19.6010","","2.15%"
"06/01/2014","19.5000","19.5625","19.7000","19.5625","","0.18%"
"05/01/2014","19.4650","19.1570","19.6325","19.1570","","-0.54%"
"04/01/2014","19.5700","19.3845","19.6400","19.2935","","1.46%"
"03/01/2014","19.2880","19.2650","19.3845","19.2650","","0.38%"
"02/01/2014","19.2150","19.1400","19.4095","19.1400","","0.65%"
"01/01/2014","19.0900","19.1540","19.3170","19.0500","","0.47%"
